Loyer au m2,KEY,Prix,Département,ville,Code Postal,Adresse,Type,Nombre de pièces,Surface,Latitude,Longitude,Prix au m2,Mensualité,Coût total des intérêts,Frais de notaire,Loyer mensuel,Taux de rendement
31,75-102,577100,75,PARIS 02,75002,159 RUE MONTMARTRE,Appartement,2,55,48.870835828764,2.34240679567376,10493,3046,336743.92,46168.0,1727,2.16
31,75-102,611050,75,PARIS 02,75002,3 RUE MANDAR,Appartement,2,45,48.8655328500938,2.34641864768833,13579,3225,356554.1,48884.0,1413,1.67
31,75-102,788901,75,PARIS 02,75002,10 RUE DE TRACY,Appartement,4,80,48.8681669897036,2.35266941190143,9861,4164,460332.21,63112.10400000001,2511,2.3
31,75-102,435000,75,PARIS 02,75002,46 RUE TIQUETONNE,Appartement,2,40,48.8648312661318,2.34723284364547,10875,2296,253827.08,34800.0,1256,2.08
31,75-102,820000,75,PARIS 02,75002,108 RUE MONTMARTRE,Appartement,3,70,48.8675432831204,2.34406727943644,11714,4328,478478.63,65600.0,2197,1.93
31,75-102,600000,75,PARIS 02,75002,12 RUE BACHAUMONT,Appartement,2,45,48.866209059118,2.34564696117263,13333,3167,350106.31,48000.0,1413,1.7
31,75-102,285000,75,PARIS 02,75002,58 RUE MONTORGUEIL,Appartement,3,23,48.8649583563215,2.34709048914557,12391,1504,166300.5,22800.0,722,1.83
31,75-102,660000,75,PARIS 02,75002,44 RUE SAINTE-ANNE,Appartement,2,56,48.8672864471835,2.33621997659815,11786,3484,385116.94,52800.0,1758,1.92
31,75-102,514000,75,PARIS 02,75002,2 RUE CHERUBINI,Appartement,3,60,48.8677874004722,2.33683597276127,8567,2713,299924.41,41120.0,1884,2.64
31,75-102,440000,75,PARIS 02,75002,45 RUE SAINT-SAUVEUR,Appartement,2,37,48.8660564537082,2.34787153050015,11892,2322,256744.63,35200.0,1162,1.9
31,75-102,280000,75,PARIS 02,75002,48 RUE GRENETA,Appartement,2,33,48.8656580998405,2.34838750959724,8485,1478,163382.95,22400.0,1036,2.67
31,75-102,675500,75,PARIS 02,75002,46 RUE DES JEUNEURS,Appartement,2,57,48.8699841074798,2.34322280244598,11851,3566,394161.36,54040.0,1789,1.91
31,75-102,368000,75,PARIS 02,75002,62 RUE DE CLERY,Appartement,2,39,48.8686136479608,2.34874792133551,9436,1942,214731.87,29440.0,1224,2.4
